array_size=8192 	STRIDE=1 	avgMISSES=0.000023 	avgTIME=0.001031
array_size=8192 	STRIDE=2 	avgMISSES=0.000160 	avgTIME=0.001038
array_size=8192 	STRIDE=4 	avgMISSES=0.000037 	avgTIME=0.000667
array_size=8192 	STRIDE=8 	avgMISSES=0.000036 	avgTIME=0.000686
array_size=8192 	STRIDE=16 	avgMISSES=0.000027 	avgTIME=0.000688
array_size=8192 	STRIDE=32 	avgMISSES=0.000053 	avgTIME=0.000684
array_size=8192 	STRIDE=64 	avgMISSES=0.000025 	avgTIME=0.000691
array_size=8192 	STRIDE=128 	avgMISSES=0.000011 	avgTIME=0.000715
array_size=8192 	STRIDE=256 	avgMISSES=0.000005 	avgTIME=0.000579
array_size=8192 	STRIDE=512 	avgMISSES=0.000004 	avgTIME=0.000630
array_size=8192 	STRIDE=1024 	avgMISSES=0.000004 	avgTIME=0.000677
array_size=8192 	STRIDE=2048 	avgMISSES=0.000004 	avgTIME=0.000684
array_size=8192 	STRIDE=4096 	avgMISSES=0.000002 	avgTIME=0.000880
array_size=16384 	STRIDE=1 	avgMISSES=0.000035 	avgTIME=0.000666
array_size=16384 	STRIDE=2 	avgMISSES=0.000070 	avgTIME=0.000666
array_size=16384 	STRIDE=4 	avgMISSES=0.000061 	avgTIME=0.000665
array_size=16384 	STRIDE=8 	avgMISSES=0.000057 	avgTIME=0.000664
array_size=16384 	STRIDE=16 	avgMISSES=0.000057 	avgTIME=0.000674
array_size=16384 	STRIDE=32 	avgMISSES=0.000057 	avgTIME=0.000682
array_size=16384 	STRIDE=64 	avgMISSES=0.000058 	avgTIME=0.000681
array_size=16384 	STRIDE=128 	avgMISSES=0.000027 	avgTIME=0.000692
array_size=16384 	STRIDE=256 	avgMISSES=0.000011 	avgTIME=0.000703
array_size=16384 	STRIDE=512 	avgMISSES=0.000006 	avgTIME=0.000626
array_size=16384 	STRIDE=1024 	avgMISSES=0.000005 	avgTIME=0.000684
array_size=16384 	STRIDE=2048 	avgMISSES=0.000004 	avgTIME=0.000788
array_size=16384 	STRIDE=4096 	avgMISSES=0.000001 	avgTIME=0.000828
array_size=16384 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.000849
array_size=32768 	STRIDE=1 	avgMISSES=0.000832 	avgTIME=0.000667
array_size=32768 	STRIDE=2 	avgMISSES=0.002097 	avgTIME=0.000667
array_size=32768 	STRIDE=4 	avgMISSES=0.004048 	avgTIME=0.000668
array_size=32768 	STRIDE=8 	avgMISSES=0.007957 	avgTIME=0.000666
array_size=32768 	STRIDE=16 	avgMISSES=0.016298 	avgTIME=0.000669
array_size=32768 	STRIDE=32 	avgMISSES=0.029321 	avgTIME=0.000674
array_size=32768 	STRIDE=64 	avgMISSES=0.029133 	avgTIME=0.000675
array_size=32768 	STRIDE=128 	avgMISSES=0.023912 	avgTIME=0.000675
array_size=32768 	STRIDE=256 	avgMISSES=0.005187 	avgTIME=0.000699
array_size=32768 	STRIDE=512 	avgMISSES=0.049922 	avgTIME=0.000787
array_size=32768 	STRIDE=1024 	avgMISSES=0.000057 	avgTIME=0.000683
array_size=32768 	STRIDE=2048 	avgMISSES=0.000007 	avgTIME=0.000826
array_size=32768 	STRIDE=4096 	avgMISSES=0.000007 	avgTIME=0.001031
array_size=32768 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.000829
array_size=32768 	STRIDE=16384 	avgMISSES=0.000001 	avgTIME=0.000849
array_size=65536 	STRIDE=1 	avgMISSES=0.015655 	avgTIME=0.000667
array_size=65536 	STRIDE=2 	avgMISSES=0.031376 	avgTIME=0.000669
array_size=65536 	STRIDE=4 	avgMISSES=0.062768 	avgTIME=0.000668
array_size=65536 	STRIDE=8 	avgMISSES=0.125504 	avgTIME=0.000666
array_size=65536 	STRIDE=16 	avgMISSES=0.250860 	avgTIME=0.000695
array_size=65536 	STRIDE=32 	avgMISSES=0.500977 	avgTIME=0.000892
array_size=65536 	STRIDE=64 	avgMISSES=1.000530 	avgTIME=0.001732
array_size=65536 	STRIDE=128 	avgMISSES=1.000030 	avgTIME=0.001750
array_size=65536 	STRIDE=256 	avgMISSES=0.999994 	avgTIME=0.001749
array_size=65536 	STRIDE=512 	avgMISSES=0.999926 	avgTIME=0.001760
array_size=65536 	STRIDE=1024 	avgMISSES=2.006558 	avgTIME=0.002970
array_size=65536 	STRIDE=2048 	avgMISSES=1.096788 	avgTIME=0.002324
array_size=65536 	STRIDE=4096 	avgMISSES=1.068770 	avgTIME=0.003476
array_size=65536 	STRIDE=8192 	avgMISSES=0.000234 	avgTIME=0.001026
array_size=65536 	STRIDE=16384 	avgMISSES=0.000001 	avgTIME=0.000834
array_size=65536 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.000966
