array_size=8192 	STRIDE=1 	avgMISSES=0.000047 	avgTIME=0.002509
array_size=8192 	STRIDE=2 	avgMISSES=0.000015 	avgTIME=0.002221
array_size=8192 	STRIDE=4 	avgMISSES=-0.000004 	avgTIME=0.001898
array_size=8192 	STRIDE=8 	avgMISSES=0.000001 	avgTIME=0.001774
array_size=8192 	STRIDE=16 	avgMISSES=0.000016 	avgTIME=0.001729
array_size=8192 	STRIDE=32 	avgMISSES=-0.000001 	avgTIME=0.001654
array_size=8192 	STRIDE=64 	avgMISSES=-0.000001 	avgTIME=0.001625
array_size=8192 	STRIDE=128 	avgMISSES=0.000000 	avgTIME=0.001529
array_size=8192 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.001188
array_size=8192 	STRIDE=512 	avgMISSES=0.000001 	avgTIME=0.001304
array_size=8192 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.001319
array_size=8192 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.001264
array_size=8192 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001570
array_size=16384 	STRIDE=1 	avgMISSES=0.000023 	avgTIME=0.001174
array_size=16384 	STRIDE=2 	avgMISSES=0.000005 	avgTIME=0.001121
array_size=16384 	STRIDE=4 	avgMISSES=-0.000001 	avgTIME=0.001074
array_size=16384 	STRIDE=8 	avgMISSES=0.000000 	avgTIME=0.001024
array_size=16384 	STRIDE=16 	avgMISSES=0.000000 	avgTIME=0.000995
array_size=16384 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.000973
array_size=16384 	STRIDE=64 	avgMISSES=0.000001 	avgTIME=0.000937
array_size=16384 	STRIDE=128 	avgMISSES=0.000000 	avgTIME=0.000920
array_size=16384 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000908
array_size=16384 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.000772
array_size=16384 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000816
array_size=16384 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000925
array_size=16384 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.000952
array_size=16384 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.001075
array_size=32768 	STRIDE=1 	avgMISSES=0.000003 	avgTIME=0.000727
array_size=32768 	STRIDE=2 	avgMISSES=0.000001 	avgTIME=0.000700
array_size=32768 	STRIDE=4 	avgMISSES=-0.000000 	avgTIME=0.000667
array_size=32768 	STRIDE=8 	avgMISSES=0.000000 	avgTIME=0.000667
array_size=32768 	STRIDE=16 	avgMISSES=0.000001 	avgTIME=0.000670
array_size=32768 	STRIDE=32 	avgMISSES=0.000001 	avgTIME=0.000670
array_size=32768 	STRIDE=64 	avgMISSES=0.000001 	avgTIME=0.000671
array_size=32768 	STRIDE=128 	avgMISSES=0.000000 	avgTIME=0.000676
array_size=32768 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000692
array_size=32768 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.000752
array_size=32768 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000683
array_size=32768 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000823
array_size=32768 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001023
array_size=32768 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.000831
array_size=32768 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000865
array_size=65536 	STRIDE=1 	avgMISSES=0.000010 	avgTIME=0.000666
array_size=65536 	STRIDE=2 	avgMISSES=0.000002 	avgTIME=0.000666
array_size=65536 	STRIDE=4 	avgMISSES=0.000010 	avgTIME=0.000671
array_size=65536 	STRIDE=8 	avgMISSES=0.000001 	avgTIME=0.000666
array_size=65536 	STRIDE=16 	avgMISSES=0.000001 	avgTIME=0.000695
array_size=65536 	STRIDE=32 	avgMISSES=0.000003 	avgTIME=0.000864
array_size=65536 	STRIDE=64 	avgMISSES=0.000004 	avgTIME=0.001732
array_size=65536 	STRIDE=128 	avgMISSES=0.000002 	avgTIME=0.001777
array_size=65536 	STRIDE=256 	avgMISSES=0.000001 	avgTIME=0.001750
array_size=65536 	STRIDE=512 	avgMISSES=0.000001 	avgTIME=0.001770
array_size=65536 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.002972
array_size=65536 	STRIDE=2048 	avgMISSES=0.000001 	avgTIME=0.002324
array_size=65536 	STRIDE=4096 	avgMISSES=0.000001 	avgTIME=0.003474
array_size=65536 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.001025
array_size=65536 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000834
array_size=65536 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.000854
