array_size=8192 	STRIDE=1 	avgMISSES=0.000050 	avgTIME=0.002390
array_size=8192 	STRIDE=2 	avgMISSES=0.000040 	avgTIME=0.001719
array_size=8192 	STRIDE=4 	avgMISSES=-0.000004 	avgTIME=0.001539
array_size=8192 	STRIDE=8 	avgMISSES=-0.000004 	avgTIME=0.001553
array_size=8192 	STRIDE=16 	avgMISSES=0.000001 	avgTIME=0.001500
array_size=8192 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.001407
array_size=8192 	STRIDE=64 	avgMISSES=0.000000 	avgTIME=0.001443
array_size=8192 	STRIDE=128 	avgMISSES=0.000002 	avgTIME=0.001381
array_size=8192 	STRIDE=256 	avgMISSES=0.000001 	avgTIME=0.001069
array_size=8192 	STRIDE=512 	avgMISSES=0.000001 	avgTIME=0.001166
array_size=8192 	STRIDE=1024 	avgMISSES=-0.000001 	avgTIME=0.001194
array_size=8192 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.001199
array_size=8192 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001428
array_size=16384 	STRIDE=1 	avgMISSES=0.000015 	avgTIME=0.001083
array_size=16384 	STRIDE=2 	avgMISSES=0.000003 	avgTIME=0.001027
array_size=16384 	STRIDE=4 	avgMISSES=0.000000 	avgTIME=0.000987
array_size=16384 	STRIDE=8 	avgMISSES=0.000000 	avgTIME=0.000955
array_size=16384 	STRIDE=16 	avgMISSES=0.000000 	avgTIME=0.000917
array_size=16384 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.000874
array_size=16384 	STRIDE=64 	avgMISSES=0.000000 	avgTIME=0.000885
array_size=16384 	STRIDE=128 	avgMISSES=0.000003 	avgTIME=0.000896
array_size=16384 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000874
array_size=16384 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.000748
array_size=16384 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000791
array_size=16384 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000883
array_size=16384 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.000932
array_size=16384 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.000928
array_size=32768 	STRIDE=1 	avgMISSES=0.000007 	avgTIME=0.000705
array_size=32768 	STRIDE=2 	avgMISSES=0.000001 	avgTIME=0.000684
array_size=32768 	STRIDE=4 	avgMISSES=0.000002 	avgTIME=0.000666
array_size=32768 	STRIDE=8 	avgMISSES=0.000000 	avgTIME=0.000667
array_size=32768 	STRIDE=16 	avgMISSES=0.000001 	avgTIME=0.000669
array_size=32768 	STRIDE=32 	avgMISSES=0.000001 	avgTIME=0.000670
array_size=32768 	STRIDE=64 	avgMISSES=0.000001 	avgTIME=0.000671
array_size=32768 	STRIDE=128 	avgMISSES=0.000001 	avgTIME=0.000676
array_size=32768 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000703
array_size=32768 	STRIDE=512 	avgMISSES=0.000001 	avgTIME=0.000733
array_size=32768 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000683
array_size=32768 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000824
array_size=32768 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001025
array_size=32768 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.000822
array_size=32768 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000854
array_size=65536 	STRIDE=1 	avgMISSES=0.000006 	avgTIME=0.000666
array_size=65536 	STRIDE=2 	avgMISSES=0.000005 	avgTIME=0.000665
array_size=65536 	STRIDE=4 	avgMISSES=0.000001 	avgTIME=0.000666
array_size=65536 	STRIDE=8 	avgMISSES=0.000014 	avgTIME=0.000667
array_size=65536 	STRIDE=16 	avgMISSES=0.000002 	avgTIME=0.000695
array_size=65536 	STRIDE=32 	avgMISSES=0.000002 	avgTIME=0.000891
array_size=65536 	STRIDE=64 	avgMISSES=0.000015 	avgTIME=0.001734
array_size=65536 	STRIDE=128 	avgMISSES=0.000005 	avgTIME=0.001750
array_size=65536 	STRIDE=256 	avgMISSES=0.000001 	avgTIME=0.001751
array_size=65536 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.001758
array_size=65536 	STRIDE=1024 	avgMISSES=0.000001 	avgTIME=0.002987
array_size=65536 	STRIDE=2048 	avgMISSES=0.000001 	avgTIME=0.002324
array_size=65536 	STRIDE=4096 	avgMISSES=0.000001 	avgTIME=0.003486
array_size=65536 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.001025
array_size=65536 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000830
array_size=65536 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.000852
