array_size=8192 	STRIDE=1 	avgMISSES=0.000053 	avgTIME=0.002535
array_size=8192 	STRIDE=2 	avgMISSES=0.000013 	avgTIME=0.002069
array_size=8192 	STRIDE=4 	avgMISSES=-0.000005 	avgTIME=0.001759
array_size=8192 	STRIDE=8 	avgMISSES=-0.000002 	avgTIME=0.001655
array_size=8192 	STRIDE=16 	avgMISSES=0.000000 	avgTIME=0.001578
array_size=8192 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.001491
array_size=8192 	STRIDE=64 	avgMISSES=0.000000 	avgTIME=0.001478
array_size=8192 	STRIDE=128 	avgMISSES=0.000001 	avgTIME=0.001470
array_size=8192 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.001127
array_size=8192 	STRIDE=512 	avgMISSES=0.000001 	avgTIME=0.001193
array_size=8192 	STRIDE=1024 	avgMISSES=-0.000001 	avgTIME=0.001255
array_size=8192 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.001204
array_size=8192 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001495
array_size=16384 	STRIDE=1 	avgMISSES=0.000009 	avgTIME=0.001123
array_size=16384 	STRIDE=2 	avgMISSES=0.000001 	avgTIME=0.001071
array_size=16384 	STRIDE=4 	avgMISSES=-0.000002 	avgTIME=0.001027
array_size=16384 	STRIDE=8 	avgMISSES=0.000001 	avgTIME=0.000992
array_size=16384 	STRIDE=16 	avgMISSES=0.000000 	avgTIME=0.000956
array_size=16384 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.000940
array_size=16384 	STRIDE=64 	avgMISSES=0.000000 	avgTIME=0.000896
array_size=16384 	STRIDE=128 	avgMISSES=0.000000 	avgTIME=0.000896
array_size=16384 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000878
array_size=16384 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.000747
array_size=16384 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000815
array_size=16384 	STRIDE=2048 	avgMISSES=-0.000000 	avgTIME=0.000912
array_size=16384 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.000929
array_size=16384 	STRIDE=8192 	avgMISSES=-0.000000 	avgTIME=0.000926
array_size=32768 	STRIDE=1 	avgMISSES=0.000012 	avgTIME=0.000713
array_size=32768 	STRIDE=2 	avgMISSES=0.000000 	avgTIME=0.000686
array_size=32768 	STRIDE=4 	avgMISSES=0.000005 	avgTIME=0.000666
array_size=32768 	STRIDE=8 	avgMISSES=0.000000 	avgTIME=0.000673
array_size=32768 	STRIDE=16 	avgMISSES=0.000000 	avgTIME=0.000689
array_size=32768 	STRIDE=32 	avgMISSES=0.000000 	avgTIME=0.000677
array_size=32768 	STRIDE=64 	avgMISSES=0.000000 	avgTIME=0.000676
array_size=32768 	STRIDE=128 	avgMISSES=0.000000 	avgTIME=0.000686
array_size=32768 	STRIDE=256 	avgMISSES=0.000000 	avgTIME=0.000706
array_size=32768 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.000759
array_size=32768 	STRIDE=1024 	avgMISSES=0.000000 	avgTIME=0.000689
array_size=32768 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000829
array_size=32768 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.001028
array_size=32768 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.000829
array_size=32768 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000874
array_size=65536 	STRIDE=1 	avgMISSES=0.000009 	avgTIME=0.000670
array_size=65536 	STRIDE=2 	avgMISSES=0.000002 	avgTIME=0.000668
array_size=65536 	STRIDE=4 	avgMISSES=0.000006 	avgTIME=0.000673
array_size=65536 	STRIDE=8 	avgMISSES=0.000001 	avgTIME=0.000670
array_size=65536 	STRIDE=16 	avgMISSES=0.000002 	avgTIME=0.000698
array_size=65536 	STRIDE=32 	avgMISSES=0.000003 	avgTIME=0.000868
array_size=65536 	STRIDE=64 	avgMISSES=0.000004 	avgTIME=0.001740
array_size=65536 	STRIDE=128 	avgMISSES=0.000006 	avgTIME=0.001757
array_size=65536 	STRIDE=256 	avgMISSES=0.000002 	avgTIME=0.001754
array_size=65536 	STRIDE=512 	avgMISSES=0.000000 	avgTIME=0.001760
array_size=65536 	STRIDE=1024 	avgMISSES=-0.000000 	avgTIME=0.002981
array_size=65536 	STRIDE=2048 	avgMISSES=-0.000000 	avgTIME=0.002330
array_size=65536 	STRIDE=4096 	avgMISSES=0.000001 	avgTIME=0.003478
array_size=65536 	STRIDE=8192 	avgMISSES=0.000000 	avgTIME=0.001027
array_size=65536 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.000829
array_size=65536 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.000854
array_size=131072 	STRIDE=1 	avgMISSES=0.000017 	avgTIME=0.000668
array_size=131072 	STRIDE=2 	avgMISSES=0.000015 	avgTIME=0.000667
array_size=131072 	STRIDE=4 	avgMISSES=0.000012 	avgTIME=0.000667
